"filiere","diplome","domaine"
"Developpement de Logiciels","Master Specialise","IT / Informatique"
"DL","Master Specialise","IT / Informatique"
"Genie Logiciel Master","Master Specialise","IT / Informatique"
"Software Dev Master","Master Specialise","IT / Informatique"
"Systemes Embarques et Internet des Objets","Master Specialise","IT / Informatique"
"SEIO","Master Specialise","IT / Informatique"
"IoT","Master Specialise","IT / Informatique"
"Internet des Objets","Master Specialise","IT / Informatique"
"IoT Master","Master Specialise","IT / Informatique"
"Reseaux et Systemes de Communication","Master Specialise","Telecoms & Reseaux"
"RSC","Master Specialise","Telecoms & Reseaux"
"rsc master","Master Specialise","Telecoms & Reseaux"
"Telecoms Master","Master Specialise","Telecoms & Reseaux"
"Reseaux Master","Master Specialise","Telecoms & Reseaux"
"Traitement du Signal et des Images","Master Specialise","IT / Informatique"
"TSI","Master Specialise","IT / Informatique"
"Signal Image","Master Specialise","IT / Informatique"
"Signal Processing","Master Specialise","IT / Informatique"
"Systemes Informatiques Distribues","Master Specialise","IT / Informatique"
"SID","Master Specialise","IT / Informatique"
"Cloud Distribue","Master Specialise","IT / Informatique"
"Systemes Distribues","Master Specialise","IT / Informatique"
"Technologies Web et Mobilite","Master Specialise","IT / Informatique"
"TWM","Master Specialise","IT / Informatique"
"Web Mobile Master","Master Specialise","IT / Informatique"
"Developpement Web Mobile","Master Specialise","IT / Informatique"
"Fouille de Donnees et Entrepots de Donnees","Master Specialise","IT / Informatique"
"FDED","Master Specialise","IT / Informatique"
"Data Mining","Master Specialise","IT / Informatique"
"Data Warehouse","Master Specialise","IT / Informatique"
"ETL","Master Specialise","IT / Informatique"
"BI","Master Specialise","IT / Informatique"
"Blockchain et Technologies Distribuees","Master Specialise","IT / Informatique"
"Blockchain","Master Specialise","IT / Informatique"
"Crypto","Master Specialise","IT / Informatique"
"DeFi","Master Specialise","IT / Informatique"
"Gestion de Projets Informatiques","Master Specialise","IT / Informatique"
"GPI","Master Specialise","IT / Informatique"
"IT Project Management","Master Specialise","IT / Informatique"
"Chef de Projet IT","Master Specialise","IT / Informatique"
"E-Business et Systemes d Information","Master Specialise","IT / Informatique"
"EBSI","Master Specialise","IT / Informatique"
"E-commerce SI","Master Specialise","IT / Informatique"
"Digital Business","Master Specialise","IT / Informatique"
"Technologies Educatives et E-Learning","Master Specialise","Education & Enseignement"
"TEEL","Master Specialise","Education & Enseignement"
"E-Learning","Master Specialise","Education & Enseignement"
"Formation Digitale","Master Specialise","Education & Enseignement"
"Finance d Entreprise","Master Specialise","Finance & Banque"
"FE","Master Specialise","Finance & Banque"
"Finance Entreprise","Master Specialise","Finance & Banque"
"Corporate Finance","Master Specialise","Finance & Banque"
"Finance Corp","Master Specialise","Finance & Banque"
"Banque et Finance Islamique","Master Specialise","Finance & Banque"
"BFI","Master Specialise","Finance & Banque"
"Finance Islamique Master","Master Specialise","Finance & Banque"
"Islamic Banking","Master Specialise","Finance & Banque"
"Banque et Gestion des Risques","Master Specialise","Finance & Banque"
"BGR","Master Specialise","Finance & Banque"
"Banque Risques","Master Specialise","Finance & Banque"
"Risk Management Banking","Master Specialise","Finance & Banque"
"Marches Financiers et Gestion de Patrimoine","Master Specialise","Finance & Banque"
"MFGP","Master Specialise","Finance & Banque"
"Marches Financiers","Master Specialise","Finance & Banque"
"Asset Management","Master Specialise","Finance & Banque"
"Audit et Controle de Gestion Master","Master Specialise","Finance & Banque"
"ACG","Master Specialise","Finance & Banque"
"acg master","Master Specialise","Finance & Banque"
"Controle Gestion Master","Master Specialise","Finance & Banque"
"Audit MS","Master Specialise","Finance & Banque"
"Comptabilite Controle Audit","Master Specialise","Finance & Banque"
"CCA","Master Specialise","Finance & Banque"
"Comptabilite Audit Master","Master Specialise","Finance & Banque"
"CCA Master","Master Specialise","Finance & Banque"
"Gestion des Ressources Humaines Master","Master Specialise","Ressources Humaines"
"GRH","Master Specialise","Ressources Humaines"
"grh master","Master Specialise","Ressources Humaines"
"RH Master","Master Specialise","Ressources Humaines"
"HR Master","Master Specialise","Ressources Humaines"
"MGRH","Master Specialise","Ressources Humaines"
"Management de la Qualite","Master Specialise","Genie Mecanique & Industriel"
"MQ","Master Specialise","Genie Mecanique & Industriel"
"Qualite Management","Master Specialise","Genie Mecanique & Industriel"
"ISO Management","Master Specialise","Genie Mecanique & Industriel"
"Management Qualite","Master Specialise","Genie Mecanique & Industriel"
"Marketing et Management Commercial","Master Specialise","Commerce & Marketing"
"MMC","Master Specialise","Commerce & Marketing"
"Marketing Master","Master Specialise","Commerce & Marketing"
"Marketing MS","Master Specialise","Commerce & Marketing"
"Marketing Digital","Master Specialise","Commerce & Marketing"
"MD","Master Specialise","Commerce & Marketing"
"Digital Marketing","Master Specialise","Commerce & Marketing"
"Marketing Numerique","Master Specialise","Commerce & Marketing"
"Emarketing","Master Specialise","Commerce & Marketing"
"Management des Achats et Logistique","Master Specialise","Transport & Logistique"
"MAL","Master Specialise","Transport & Logistique"
"Achats Logistique","Master Specialise","Transport & Logistique"
"Procurement","Master Specialise","Transport & Logistique"
"Supply Chain MS","Master Specialise","Transport & Logistique"
"Management International","Master Specialise","Management & Entrepreneuriat"
"MInt","Master Specialise","Management & Entrepreneuriat"
"International Management","Master Specialise","Management & Entrepreneuriat"
"Management Intern MS","Master Specialise","Management & Entrepreneuriat"
"Management de l Innovation et Entrepreneuriat","Master Specialise","Management & Entrepreneuriat"
"MIE","Master Specialise","Management & Entrepreneuriat"
"Entrepreneuriat MS","Master Specialise","Management & Entrepreneuriat"
"Startup Management","Master Specialise","Management & Entrepreneuriat"
"Gestion de Projets","Master Specialise","Management & Entrepreneuriat"
"MGP","Master Specialise","Management & Entrepreneuriat"
"Project Management","Master Specialise","Management & Entrepreneuriat"
"PMP","Master Specialise","Management & Entrepreneuriat"
"Gestion Projet MS","Master Specialise","Management & Entrepreneuriat"
"Economie et Finance Internationales","Master Specialise","Sciences Humaines & Sociales"
"EFI","Master Specialise","Sciences Humaines & Sociales"
"Eco Finance Intern","Master Specialise","Sciences Humaines & Sociales"
"International Economics","Master Specialise","Sciences Humaines & Sociales"
"Economie de l Energie","Master Specialise","Electricite & Energie"
"EEner","Master Specialise","Electricite & Energie"
"Energie Economie","Master Specialise","Electricite & Energie"
"Economics of Energy","Master Specialise","Electricite & Energie"
"Economie du Developpement Durable","Master Specialise","Environnement & Energie Verte"
"EDD","Master Specialise","Environnement & Energie Verte"
"Developpement Durable Eco","Master Specialise","Environnement & Energie Verte"
"Green Economics","Master Specialise","Environnement & Energie Verte"
"Politiques Publiques et Gouvernance","Master Specialise","Droit & Sciences Juridiques"
"PPG","Master Specialise","Droit & Sciences Juridiques"
"Gouvernance Master","Master Specialise","Droit & Sciences Juridiques"
"Public Policy","Master Specialise","Droit & Sciences Juridiques"
"Finance Publique","Master Specialise","Finance & Banque"
"FPub","Master Specialise","Finance & Banque"
"Finances Publiques","Master Specialise","Finance & Banque"
"Public Finance","Master Specialise","Finance & Banque"
"Droit des Affaires et Fiscalite","Master Specialise","Droit & Sciences Juridiques"
"DAF","Master Specialise","Droit & Sciences Juridiques"
"Droit Fiscal Master","Master Specialise","Droit & Sciences Juridiques"
"Tax Law","Master Specialise","Droit & Sciences Juridiques"
"Affaires Fisc","Master Specialise","Droit & Sciences Juridiques"
"Management Strategique Master","Master Specialise","Management & Entrepreneuriat"
"MSM","Master Specialise","Management & Entrepreneuriat"
"Strategie Master","Master Specialise","Management & Entrepreneuriat"
"Strategic Management MS","Master Specialise","Management & Entrepreneuriat"
"Management Hoteliertouristique Master","Master Specialise","Tourisme & Hotellerie"
"MHTM","Master Specialise","Tourisme & Hotellerie"
"Hotellerie Tourisme Master","Master Specialise","Tourisme & Hotellerie"
"Tourism MS","Master Specialise","Tourisme & Hotellerie"
"Systemes d Information et Management","Master Specialise","IT / Informatique"
"MSIM","Master Specialise","IT / Informatique"
"SI Management MS","Master Specialise","IT / Informatique"
"ERP Business","Master Specialise","IT / Informatique"
"Economie Sociale et Solidaire","Master Specialise","Sciences Humaines & Sociales"
"ESS","Master Specialise","Sciences Humaines & Sociales"
"Economie Solidaire","Master Specialise","Sciences Humaines & Sociales"
"Social Economy","Master Specialise","Sciences Humaines & Sociales"
"Genie Logiciel Avance","Master Specialise","IT / Informatique"
"GLA","Master Specialise","IT / Informatique"
"Advanced Software","Master Specialise","IT / Informatique"
"Mathematiques et Applications Master","Master Specialise","Sciences & Recherche"
"MAM","Master Specialise","Sciences & Recherche"
"Mathematiques Master","Master Specialise","Sciences & Recherche"
"Math Appliquees MS","Master Specialise","Sciences & Recherche"
"Probabilites et Statistiques","Master Specialise","Sciences & Recherche"
"PS","Master Specialise","Sciences & Recherche"
"Stats Master","Master Specialise","Sciences & Recherche"
"Statistiques Probabilites","Master Specialise","Sciences & Recherche"
"Applied Statistics","Master Specialise","Sciences & Recherche"
"Mecanique des Fluides et Energetique","Master Specialise","Genie Mecanique & Industriel"
"MFE","Master Specialise","Genie Mecanique & Industriel"
"Fluides Energetique","Master Specialise","Genie Mecanique & Industriel"
"Fluid Mechanics","Master Specialise","Genie Mecanique & Industriel"
"Chimie et Environnement","Master Specialise","Genie Chimique & Materiaux"
"CE","Master Specialise","Genie Chimique & Materiaux"
"ce master","Master Specialise","Genie Chimique & Materiaux"
"Chimie Master","Master Specialise","Genie Chimique & Materiaux"
"Environnement Chimie","Master Specialise","Genie Chimique & Materiaux"
"Sciences des Materiaux Master","Master Specialise","Genie Chimique & Materiaux"
"SMM","Master Specialise","Genie Chimique & Materiaux"
"Materiaux Master","Master Specialise","Genie Chimique & Materiaux"
"Materials Science MS","Master Specialise","Genie Chimique & Materiaux"
"Genie de l Environnement Master","Master Specialise","Environnement & Energie Verte"
"GEM","Master Specialise","Environnement & Energie Verte"
"Environnement Ing Master","Master Specialise","Environnement & Energie Verte"
"Environmental Eng","Master Specialise","Environnement & Energie Verte"
"Biotechnologies et Bio-industries","Master Specialise","Sciences & Recherche"
"BB","Master Specialise","Sciences & Recherche"
"Biotech Master","Master Specialise","Sciences & Recherche"
"Bio-industries","Master Specialise","Sciences & Recherche"
"Photovoltaique et Energies Renouvelables","Master Specialise","Electricite & Energie"
"PER","Master Specialise","Electricite & Energie"
"Solaire Energies Renouvelables","Master Specialise","Electricite & Energie"
"Solar Energy MS","Master Specialise","Electricite & Energie"
"Gestion des Ressources Naturelles","Master Specialise","Environnement & Energie Verte"
"GRN","Master Specialise","Environnement & Energie Verte"
"Ressources Naturelles Master","Master Specialise","Environnement & Energie Verte"
"Natural Resources","Master Specialise","Environnement & Energie Verte"
"Inspection et Maintenance Industrielle","Master Specialise","Genie Mecanique & Industriel"
"IMI","Master Specialise","Genie Mecanique & Industriel"
"Maintenance Industrielle Master","Master Specialise","Genie Mecanique & Industriel"
"Qualite Hygiene Securite Environnement","Master Specialise","Genie Mecanique & Industriel"
"QHSE","Master Specialise","Genie Mecanique & Industriel"
"HSE","Master Specialise","Genie Mecanique & Industriel"
"Health Safety Environment","Master Specialise","Genie Mecanique & Industriel"
"Management de la Sante","Master Specialise","Sante & Medecine"
"MSante","Master Specialise","Sante & Medecine"
"Health Management","Master Specialise","Sante & Medecine"
"Gestion Hospitaliere Master","Master Specialise","Sante & Medecine"
"Genie Nucleaire Master","Master Specialise","Electricite & Energie"
"GNM","Master Specialise","Electricite & Energie"
"Nucleaire Master","Master Specialise","Electricite & Energie"
"Nuclear Engineering MS","Master Specialise","Electricite & Energie"
"Doctorat Informatique","Doctorat","IT / Informatique"
"Doc Info","Doctorat","IT / Informatique"
"PhD Informatique","Doctorat","IT / Informatique"
"These Informatique","Doctorat","IT / Informatique"
"Doctorat Mathematiques","Doctorat","Sciences & Recherche"
"Doc Math","Doctorat","Sciences & Recherche"
"PhD Maths","Doctorat","Sciences & Recherche"
"These Mathematiques","Doctorat","Sciences & Recherche"
"Doctorat Physique","Doctorat","Sciences & Recherche"
"Doc Phys","Doctorat","Sciences & Recherche"
"PhD Physique","Doctorat","Sciences & Recherche"
"These Physique","Doctorat","Sciences & Recherche"
"Doctorat Chimie","Doctorat","Genie Chimique & Materiaux"
"Doc Chim","Doctorat","Genie Chimique & Materiaux"
"PhD Chimie","Doctorat","Genie Chimique & Materiaux"
"These Chimie","Doctorat","Genie Chimique & Materiaux"
"Doctorat Sciences de la Vie","Doctorat","Sciences & Recherche"
"Doc SV","Doctorat","Sciences & Recherche"
"PhD Biologie","Doctorat","Sciences & Recherche"
"These Biologie","Doctorat","Sciences & Recherche"
"Doctorat Genie Civil","Doctorat","Genie Civil & BTP"
"Doc GC","Doctorat","Genie Civil & BTP"
"PhD Genie Civil","Doctorat","Genie Civil & BTP"
"These Genie Civil","Doctorat","Genie Civil & BTP"
"Doctorat Genie Electrique","Doctorat","Electricite & Energie"
"Doc GE","Doctorat","Electricite & Energie"
"PhD Genie Electrique","Doctorat","Electricite & Energie"
"Doctorat Sciences Economiques","Doctorat","Sciences Humaines & Sociales"
"Doc Eco","Doctorat","Sciences Humaines & Sociales"
"PhD Economie","Doctorat","Sciences Humaines & Sociales"
"These Economie","Doctorat","Sciences Humaines & Sociales"
"Doctorat Droit","Doctorat","Droit & Sciences Juridiques"
"Doc Droit","Doctorat","Droit & Sciences Juridiques"
"PhD Droit","Doctorat","Droit & Sciences Juridiques"
"These Droit","Doctorat","Droit & Sciences Juridiques"
"Doctorat Gestion","Doctorat","Management & Entrepreneuriat"
"Doc Gestion","Doctorat","Management & Entrepreneuriat"
"PhD Management","Doctorat","Management & Entrepreneuriat"
"These Management","Doctorat","Management & Entrepreneuriat"
"Doctorat Lettres","Doctorat","Sciences Humaines & Sociales"
"Doc Lettres","Doctorat","Sciences Humaines & Sociales"
"PhD Lettres","Doctorat","Sciences Humaines & Sociales"
"These Lettres","Doctorat","Sciences Humaines & Sociales"
"Doctorat Sciences de l Education","Doctorat","Education & Enseignement"
"Doc SE","Doctorat","Education & Enseignement"
"PhD Education","Doctorat","Education & Enseignement"
"These Education","Doctorat","Education & Enseignement"
"Doctorat Sciences Agronomiques","Doctorat","Agriculture & Agroalimentaire"
"Doc Agro","Doctorat","Agriculture & Agroalimentaire"
"PhD Agronomie","Doctorat","Agriculture & Agroalimentaire"
"Doctorat Sciences Pharmaceutiques","Doctorat","Sante & Medecine"
"Doc Pharm","Doctorat","Sante & Medecine"
"PhD Pharmacie","Doctorat","Sante & Medecine"
"Doctorat Genie Mecanique","Doctorat","Genie Mecanique & Industriel"
"Doc GM","Doctorat","Genie Mecanique & Industriel"
"PhD Mecanique","Doctorat","Genie Mecanique & Industriel"
"Doctorat Energetique","Doctorat","Electricite & Energie"
"Doc Ener","Doctorat","Electricite & Energie"
"PhD Energies","Doctorat","Electricite & Energie"
"These Energie","Doctorat","Electricite & Energie"
"Doctorat Geologie","Doctorat","Sciences & Recherche"
"Doc Geo","Doctorat","Sciences & Recherche"
"PhD Geosciences","Doctorat","Sciences & Recherche"
"Doctorat Sciences Politiques","Doctorat","Droit & Sciences Juridiques"
"Doc SP","Doctorat","Droit & Sciences Juridiques"
"PhD Sciences Politiques","Doctorat","Droit & Sciences Juridiques"
"Audit et Controle Qualite","Licence Professionnelle","Genie Mecanique & Industriel"
"ACQ","Licence Professionnelle","Genie Mecanique & Industriel"
"Qualite LP","Licence Professionnelle","Genie Mecanique & Industriel"
"Controle Qualite LP","Licence Professionnelle","Genie Mecanique & Industriel"
"Developpement Web et Mobile","Licence Professionnelle","IT / Informatique"
"DWM","Licence Professionnelle","IT / Informatique"
"Dev Web Mobile LP","Licence Professionnelle","IT / Informatique"
"Web Dev LP","Licence Professionnelle","IT / Informatique"
"Web Developer","Licence Professionnelle","IT / Informatique"
"Administration des Systemes et Reseaux","Licence Professionnelle","IT / Informatique"
"ASR","Licence Professionnelle","IT / Informatique"
"Admin Sys Reseaux","Licence Professionnelle","IT / Informatique"
"Sysadmin","Licence Professionnelle","IT / Informatique"
"Sys Admin","Licence Professionnelle","IT / Informatique"
"Bases de Donnees et Informatique Decisionnelle","Licence Professionnelle","IT / Informatique"
"BDID","Licence Professionnelle","IT / Informatique"
"BDD BI","Licence Professionnelle","IT / Informatique"
"Bases de Donnees LP","Licence Professionnelle","IT / Informatique"
"DBA","Licence Professionnelle","IT / Informatique"
"Securite des Reseaux","Licence Professionnelle","IT / Informatique"
"SR","Licence Professionnelle","IT / Informatique"
"Securite Reseaux LP","Licence Professionnelle","IT / Informatique"
"Network Security","Licence Professionnelle","IT / Informatique"
"Gestion des Entreprises","Licence Professionnelle","Management & Entrepreneuriat"
"GE LP","Licence Professionnelle","Management & Entrepreneuriat"
"Management LP","Licence Professionnelle","Management & Entrepreneuriat"
"Gestion Entreprise LP","Licence Professionnelle","Management & Entrepreneuriat"
"Finance et Banque LP","Licence Professionnelle","Finance & Banque"
"FB LP","Licence Professionnelle","Finance & Banque"
"Banque Finance LP","Licence Professionnelle","Finance & Banque"
"Commerce et Marketing","Licence Professionnelle","Commerce & Marketing"
"CoM LP","Licence Professionnelle","Commerce & Marketing"
"Marketing LP","Licence Professionnelle","Commerce & Marketing"
"Commerce LP","Licence Professionnelle","Commerce & Marketing"
"Comptabilite et Fiscalite","Licence Professionnelle","Finance & Banque"
"CF LP","Licence Professionnelle","Finance & Banque"
"Compta Fisc LP","Licence Professionnelle","Finance & Banque"
"Comptabilite LP","Licence Professionnelle","Finance & Banque"
"Logistique et Management de la Chaine","Licence Professionnelle","Transport & Logistique"
"LMCI","Licence Professionnelle","Transport & Logistique"
"Logistique LP","Licence Professionnelle","Transport & Logistique"
"SCM LP","Licence Professionnelle","Transport & Logistique"
"Tourisme et Gestion Hoteliere","Licence Professionnelle","Tourisme & Hotellerie"
"TGH","Licence Professionnelle","Tourisme & Hotellerie"
"Hotellerie LP","Licence Professionnelle","Tourisme & Hotellerie"
"Tourisme LP","Licence Professionnelle","Tourisme & Hotellerie"
"Electrotechnique et Automatisme","Licence Professionnelle","Electricite & Energie"
"EA LP","Licence Professionnelle","Electricite & Energie"
"Automatisme LP","Licence Professionnelle","Electricite & Energie"
"Electrotechnique LP","Licence Professionnelle","Electricite & Energie"
"Electronique Industrielle","Licence Professionnelle","Electronique & Automatique"
"EI LP","Licence Professionnelle","Electronique & Automatique"
"Electronique LP","Licence Professionnelle","Electronique & Automatique"
"Genie Mecanique et Productique","Licence Professionnelle","Genie Mecanique & Industriel"
"GMP","Licence Professionnelle","Genie Mecanique & Industriel"
"Productique LP","Licence Professionnelle","Genie Mecanique & Industriel"
"Productique","Licence Professionnelle","Genie Mecanique & Industriel"
"Maintenance Industrielle et Productique","Licence Professionnelle","Genie Mecanique & Industriel"
"MIP LP","Licence Professionnelle","Genie Mecanique & Industriel"
"Maintenance LP","Licence Professionnelle","Genie Mecanique & Industriel"
"Technicien Maintenance","Licence Professionnelle","Genie Mecanique & Industriel"
"Energies Renouvelables et Efficacite Energetique","Licence Professionnelle","Electricite & Energie"
"E3LP","Licence Professionnelle","Electricite & Energie"
"Energies Renouvelables LP","Licence Professionnelle","Electricite & Energie"
"Efficacite Energetique","Licence Professionnelle","Electricite & Energie"
"Agroalimentaire et Controle Qualite","Licence Professionnelle","Agriculture & Agroalimentaire"
"ACQLP","Licence Professionnelle","Agriculture & Agroalimentaire"
"Agroalimentaire LP","Licence Professionnelle","Agriculture & Agroalimentaire"
"Qualite Alimentaire","Licence Professionnelle","Agriculture & Agroalimentaire"
"Batiment et Travaux Publics","Licence Professionnelle","Genie Civil & BTP"
"BTP","Licence Professionnelle","Genie Civil & BTP"
"Construction LP","Licence Professionnelle","Genie Civil & BTP"
"Travaux Publics LP","Licence Professionnelle","Genie Civil & BTP"
"Genie Topographique LP","Licence Professionnelle","Genie Civil & BTP"
"GTopo LP","Licence Professionnelle","Genie Civil & BTP"
"Topographie LP","Licence Professionnelle","Genie Civil & BTP"
"Geometre LP","Licence Professionnelle","Genie Civil & BTP"
"Gestion Commerciale","Licence Professionnelle","Commerce & Marketing"
"GC LP","Licence Professionnelle","Commerce & Marketing"
"Commercial LP","Licence Professionnelle","Commerce & Marketing"
"Technico-Commercial","Licence Professionnelle","Commerce & Marketing"
"Ressources Humaines LP","Licence Professionnelle","Ressources Humaines"
"RH LP","Licence Professionnelle","Ressources Humaines"
"GRH LP","Licence Professionnelle","Ressources Humaines"
"HR LP","Licence Professionnelle","Ressources Humaines"
"Transport et Logistique","Licence Professionnelle","Transport & Logistique"
"TL LP","Licence Professionnelle","Transport & Logistique"
"Transport LP","Licence Professionnelle","Transport & Logistique"
"Transitaire","Licence Professionnelle","Transport & Logistique"
"Management de Projets","Licence Professionnelle","Management & Entrepreneuriat"
"MP LP","Licence Professionnelle","Management & Entrepreneuriat"
"Gestion de Projets LP","Licence Professionnelle","Management & Entrepreneuriat"
"Project LP","Licence Professionnelle","Management & Entrepreneuriat"
"Sciences de la Communication","Licence Professionnelle","Arts & Communication"
"SComm LP","Licence Professionnelle","Arts & Communication"
"Communication LP","Licence Professionnelle","Arts & Communication"
"Journalisme LP","Licence Professionnelle","Arts & Communication"
"Environnement et Gestion des Dechets","Licence Professionnelle","Environnement & Energie Verte"
"EGD","Licence Professionnelle","Environnement & Energie Verte"
"Gestion Dechets LP","Licence Professionnelle","Environnement & Energie Verte"
"Environnement LP","Licence Professionnelle","Environnement & Energie Verte"
"Tourisme et Guide de Montagne","Licence Professionnelle","Tourisme & Hotellerie"
"TGM","Licence Professionnelle","Tourisme & Hotellerie"
"Guide Tourisme LP","Licence Professionnelle","Tourisme & Hotellerie"
"Ecotourisme","Licence Professionnelle","Tourisme & Hotellerie"
"Immobilier et Foncier","Licence Professionnelle","Architecture & Urbanisme"
"IF LP","Licence Professionnelle","Architecture & Urbanisme"
"Immobilier LP","Licence Professionnelle","Architecture & Urbanisme"
"Gestion Immobiliere","Licence Professionnelle","Architecture & Urbanisme"
"Multimedia et Communication Numerique","Licence Professionnelle","Arts & Communication"
"MCN","Licence Professionnelle","Arts & Communication"
"Multimedia LP","Licence Professionnelle","Arts & Communication"
"Communication Num LP","Licence Professionnelle","Arts & Communication"
"Data Science Appliquee","Licence Professionnelle","IT / Informatique"
"DSA","Licence Professionnelle","IT / Informatique"
"Data Science LP","Licence Professionnelle","IT / Informatique"
"Analyse de Donnees","Licence Professionnelle","IT / Informatique"
"Data Analyst","Licence Professionnelle","IT / Informatique"
"Informatique de Gestion","DUT","IT / Informatique"
"IG","DUT","IT / Informatique"
"Informatique Gestion DUT","DUT","IT / Informatique"
"IG DUT","DUT","IT / Informatique"
"NTIC DUT","DUT","IT / Informatique"
"Reseaux et Telecommunications","DUT","Telecoms & Reseaux"
"RT DUT","DUT","Telecoms & Reseaux"
"Reseaux DUT","DUT","Telecoms & Reseaux"
"Telecoms DUT","DUT","Telecoms & Reseaux"
"Genie Electrique DUT","DUT","Electricite & Energie"
"GE DUT","DUT","Electricite & Energie"
"Electrique DUT","DUT","Electricite & Energie"
"Electrotechnique DUT","DUT","Electricite & Energie"
"Genie Mecanique DUT","DUT","Genie Mecanique & Industriel"
"GM DUT","DUT","Genie Mecanique & Industriel"
"Mecanique DUT","DUT","Genie Mecanique & Industriel"
"Genie Civil DUT","DUT","Genie Civil & BTP"
"GC DUT","DUT","Genie Civil & BTP"
"Construction DUT","DUT","Genie Civil & BTP"
"Batiment DUT","DUT","Genie Civil & BTP"
"Genie Chimique DUT","DUT","Genie Chimique & Materiaux"
"GCH DUT","DUT","Genie Chimique & Materiaux"
"Chimie DUT","DUT","Genie Chimique & Materiaux"
"Procedes DUT","DUT","Genie Chimique & Materiaux"
"Techniques de Commercialisation","DUT","Commerce & Marketing"
"TC DUT","DUT","Commerce & Marketing"
"Commercial DUT","DUT","Commerce & Marketing"
"Technico-Commercial DUT","DUT","Commerce & Marketing"
"Gestion des Entreprises DUT","DUT","Management & Entrepreneuriat"
"GE2 DUT","DUT","Management & Entrepreneuriat"
"Gestion DUT","DUT","Management & Entrepreneuriat"
"Management DUT","DUT","Management & Entrepreneuriat"
"Comptabilite DUT","DUT","Finance & Banque"
"Compta DUT","DUT","Finance & Banque"
"Finance DUT","DUT","Finance & Banque"
"Electrotechnique BTS","BTS","Electricite & Energie"
"Elec BTS","BTS","Electricite & Energie"
"Electricite BTS","BTS","Electricite & Energie"
"Energie Electrique BTS","BTS","Electricite & Energie"
"Electronique BTS","BTS","Electronique & Automatique"
"Electron BTS","BTS","Electronique & Automatique"
"Maintenance Electronique BTS","BTS","Electronique & Automatique"
"Mecanique BTS","BTS","Genie Mecanique & Industriel"
"Mec BTS","BTS","Genie Mecanique & Industriel"
"Mecanique Industrielle BTS","BTS","Genie Mecanique & Industriel"
"Informatique BTS","BTS","IT / Informatique"
"Info BTS","BTS","IT / Informatique"
"Developpement Informatique BTS","BTS","IT / Informatique"
"NTIC BTS","BTS","IT / Informatique"
"Comptabilite BTS","BTS","Finance & Banque"
"Compta BTS","BTS","Finance & Banque"
"Finance Comptabilite BTS","BTS","Finance & Banque"
"Marketing et Commerce BTS","BTS","Commerce & Marketing"
"Mkg BTS","BTS","Commerce & Marketing"
"Marketing BTS","BTS","Commerce & Marketing"
"Commerce BTS","BTS","Commerce & Marketing"
"Hotellerie et Restauration BTS","BTS","Tourisme & Hotellerie"
"Hotel BTS","BTS","Tourisme & Hotellerie"
"Cuisine BTS","BTS","Tourisme & Hotellerie"
"Restauration BTS","BTS","Tourisme & Hotellerie"
"BTP BTS","BTS","Genie Civil & BTP"
"Batiment BTS","BTS","Genie Civil & BTP"
"Construction BTS","BTS","Genie Civil & BTP"
"Genie Civil BTS","BTS","Genie Civil & BTP"
"Communication Visuelle BTS","BTS","Arts & Communication"
"ComVis BTS","BTS","Arts & Communication"
"Design Graphique BTS","BTS","Arts & Communication"
"Graphisme BTS","BTS","Arts & Communication"
"Secretariat de Direction BTS","BTS","Secteur Public & Administration"
"Sec BTS","BTS","Secteur Public & Administration"
"Assistant de Direction BTS","BTS","Secteur Public & Administration"
"Secretariat BTS","BTS","Secteur Public & Administration"
"Logistique et Transport BTS","BTS","Transport & Logistique"
"Log BTS","BTS","Transport & Logistique"
"Transitaire BTS","BTS","Transport & Logistique"
"Transport BTS","BTS","Transport & Logistique"
"Multimedia BTS","BTS","Arts & Communication"
"Multi BTS","BTS","Arts & Communication"
"Web Designer BTS","BTS","Arts & Communication"
"Infographie BTS","BTS","Arts & Communication"
"Industrie Textile BTS","BTS","Industrie Textile & Mode"
"Textile BTS","BTS","Industrie Textile & Mode"
"Confection BTS","BTS","Industrie Textile & Mode"
"Mode BTS","BTS","Industrie Textile & Mode"
"Agroalimentaire BTS","BTS","Agriculture & Agroalimentaire"
"Agro BTS","BTS","Agriculture & Agroalimentaire"
"IAA BTS","BTS","Agriculture & Agroalimentaire"
"Technologie Alimentaire BTS","BTS","Agriculture & Agroalimentaire"
"Tourisme BTS","BTS","Tourisme & Hotellerie"
"Tour BTS","BTS","Tourisme & Hotellerie"
"Guide Tourisme BTS","BTS","Tourisme & Hotellerie"
"Agent Voyage BTS","BTS","Tourisme & Hotellerie"
"Gestion Immobiliere BTS","BTS","Architecture & Urbanisme"
"Immo BTS","BTS","Architecture & Urbanisme"
"Immobilier BTS","BTS","Architecture & Urbanisme"
"Energies Renouvelables BTS","BTS","Electricite & Energie"
"ER BTS","BTS","Electricite & Energie"
"Solaire BTS","BTS","Electricite & Energie"
"Energie BTS","BTS","Electricite & Energie"
"Genie Informatique EMI","Cycle Ingenieur","IT / Informatique"
"GI EMI","Cycle Ingenieur","IT / Informatique"
"Informatique EMI","Cycle Ingenieur","IT / Informatique"
"EMI Informatique","Cycle Ingenieur","IT / Informatique"
"Genie Electrique EMI","Cycle Ingenieur","Electricite & Energie"
"GE EMI","Cycle Ingenieur","Electricite & Energie"
"Electrique EMI","Cycle Ingenieur","Electricite & Energie"
